"","time","n.risk","n.event","n.censor","surv","std.err","upper","lower","strata","mgm","rcp_facet","event"
"1",30,1,1,0,0,Inf,NA,NA,"mgm=ADAPTATION, rcp_facet=1_refclim","ADAPTATION","1_refclim",1
"2",50,5,5,0,0,Inf,NA,NA,"mgm=ADAPTATION, rcp_facet=2_rcp45  ","ADAPTATION","2_rcp45",1
"3",25,6,6,0,0,Inf,NA,NA,"mgm=ADAPTATION, rcp_facet=3_rcp85  ","ADAPTATION","3_rcp85",1
"4",28,1,1,0,0,Inf,NA,NA,"mgm=BAU, rcp_facet=1_refclim","BAU","1_refclim",1
"5",50,5,5,0,0,Inf,NA,NA,"mgm=BAU, rcp_facet=2_rcp45  ","BAU","2_rcp45",1
"6",31,2,2,0,0,Inf,NA,NA,"mgm=BAU, rcp_facet=3_rcp85  ","BAU","3_rcp85",1
"7",23,5,5,0,0,Inf,NA,NA,"mgm=BIOECONOMY, rcp_facet=1_refclim","BIOECONOMY","1_refclim",1
"8",50,5,5,0,0,Inf,NA,NA,"mgm=BIOECONOMY, rcp_facet=2_rcp45  ","BIOECONOMY","2_rcp45",1
"9",25,8,8,0,0,Inf,NA,NA,"mgm=BIOECONOMY, rcp_facet=3_rcp85  ","BIOECONOMY","3_rcp85",1
"10",35,1,1,0,0,Inf,NA,NA,"mgm=CONSERVATION, rcp_facet=1_refclim","CONSERVATION","1_refclim",1
"11",50,6,6,0,0,Inf,NA,NA,"mgm=CONSERVATION, rcp_facet=2_rcp45  ","CONSERVATION","2_rcp45",1
"12",31,2,2,0,0,Inf,NA,NA,"mgm=CONSERVATION, rcp_facet=3_rcp85  ","CONSERVATION","3_rcp85",1
"13",38,1,1,0,0,Inf,NA,NA,"mgm=UNMANAGED, rcp_facet=1_refclim","UNMANAGED","1_refclim",1
"14",50,6,6,0,0,Inf,NA,NA,"mgm=UNMANAGED, rcp_facet=2_rcp45  ","UNMANAGED","2_rcp45",1
"15",32,1,1,0,0,Inf,NA,NA,"mgm=UNMANAGED, rcp_facet=3_rcp85  ","UNMANAGED","3_rcp85",1
