mgm,rcp,score,res,dist
UNMANAGED,refclim,0.745614438916489,0.867565166471973,0.286794349350486
BIOECONOMY,refclim,0.6812571514729,0.944132067421858,0.323601961331704
ADAPTATION,refclim,0.681152770010897,0.93234636581206,0.325945655425194
BAU,refclim,0.682499599380285,0.922731263215791,0.326767443417955
CONSERVATION,refclim,0.695313712943877,0.873396416089071,0.329942723785717
UNMANAGED,rcp45,0.699152779637643,0.842961243680547,0.339367383503655
ADAPTATION,rcp45,0.662518850133267,0.894297335359582,0.353647536153522
BIOECONOMY,rcp45,0.659585145877823,0.888625790098934,0.358171031126346
CONSERVATION,rcp45,0.669657057269609,0.84278618673943,0.36584510778703
BAU,rcp45,0.659345768643128,0.858510043149392,0.368869507049482
UNMANAGED,rcp85,0.691081111810487,0.883592880955152,0.330123456974154
ADAPTATION,rcp85,0.662998019890691,0.931943305403774,0.343805247599508
BIOECONOMY,rcp85,0.657999995049621,0.921918294653547,0.350800165472979
CONSERVATION,rcp85,0.666728428750499,0.885994617766884,0.352231695594292
BAU,rcp85,0.6550877624844,0.886159007035775,0.363213743224425
