"","mgm","name","rcp","mean_diff","q25","q75"
"1","ADAPTATION","impact","rcp45",-4.63168892136377,-7.87533048928535,-1.43779066368194
"2","ADAPTATION","impact","rcp85",-3.65472960358056,-7.42173835521142,0.449488254042409
"3","ADAPTATION","one.minus.norm.auc","rcp45",-4.08098603678689,-4.62499212579169,-0.169984252918681
"4","ADAPTATION","one.minus.norm.auc","rcp85",-0.042715040469968,-1.01246680292061,0.554447570595443
"5","BAU","impact","rcp45",-0.565744402079767,-3.14650074628182,2.04252680223253
"6","BAU","impact","rcp85",1.27088625538059,-3.47611270428004,3.59021196159863
"7","BAU","one.minus.norm.auc","rcp45",-6.95969274997905,-10.0394147449551,-3.05654354751351
"8","BAU","one.minus.norm.auc","rcp85",-3.96276716086041,-4.3825011106377,-3.46662082067279
"9","BIOECONOMY","impact","rcp45",-4.75595346453287,-9.20842742081675,-0.575730007059509
"10","BIOECONOMY","impact","rcp85",-1.12580565351858,-6.94171981654062,3.66626491369708
"11","BIOECONOMY","one.minus.norm.auc","rcp45",-5.87684709627563,-9.09675229818964,-2.11878681272143
"12","BIOECONOMY","one.minus.norm.auc","rcp85",-2.35203345716705,-3.57461883488873,-1.47810471086089
"13","CONSERVATION","impact","rcp45",-3.80888167929535,-5.67612027538967,-1.12198636867718
"14","CONSERVATION","impact","rcp85",-1.18188559835981,-4.85575696056998,2.67311041327428
"15","CONSERVATION","one.minus.norm.auc","rcp45",-3.51197705545637,-6.64246114432923,1.03777064281465
"16","CONSERVATION","one.minus.norm.auc","rcp85",1.44145872547672,0.12179406977062,2.11979427853731
"17","UNMANAGED","impact","rcp45",0.365153729236501,-1.54143289074677,2.66498157702201
"18","UNMANAGED","impact","rcp85",5.62196786495376,-0.505918166205115,10.0580793510444
"19","UNMANAGED","one.minus.norm.auc","rcp45",-2.83380223144867,-7.219076041794,1.72370724215594
"20","UNMANAGED","one.minus.norm.auc","rcp85",1.85464121846364,0.195042114122771,3.06765090659361
"21","ADAPTATION","Est.med.recovery.time","rcp45",-17.2413793103448,NA,NA
"22","ADAPTATION","Est.med.recovery.time","rcp85",-20.6896551724138,NA,NA
"23","BAU","Est.med.recovery.time","rcp45",62.5,NA,NA
"24","BAU","Est.med.recovery.time","rcp85",12.5,NA,NA
"25","BIOECONOMY","Est.med.recovery.time","rcp45",13.0434782608696,NA,NA
"26","BIOECONOMY","Est.med.recovery.time","rcp85",4.34782608695652,NA,NA
"27","CONSERVATION","Est.med.recovery.time","rcp45",2.94117647058824,NA,NA
"28","CONSERVATION","Est.med.recovery.time","rcp85",-20.5882352941176,NA,NA
"29","UNMANAGED","Est.med.recovery.time","rcp45",14.7058823529412,NA,NA
"30","UNMANAGED","Est.med.recovery.time","rcp85",-20.5882352941176,NA,NA
